# Automated Sine Wave Measurement
# Timestamp,2025-12-11 15:28:40
# Frequency (Hz),5000
# Amplitude Set (Vpp),3.0
# VPP Measured (V),5.080000
# Vmax (V),2.532800
# Vmin (V),-2.547200
# VRMS (V),1.652961

Time (s),Voltage (V)
-0.000025800,-2.547200
-0.000025700,-2.467200
-0.000025600,-2.467200
-0.000025500,-2.547200
-0.000025400,-2.547200
-0.000025300,-2.467200
-0.000025200,-2.547200
-0.000025100,-2.467200
-0.000025000,-2.467200
-0.000024900,-2.547200
-0.000024800,-2.547200
-0.000024700,-2.467200
-0.000024600,-2.547200
-0.000024500,-2.467200
-0.000024400,-2.547200
-0.000024300,-2.467200
-0.000024200,-2.467200
-0.000024100,-2.547200
-0.000024000,-2.467200
-0.000023900,-2.547200
-0.000023800,-2.547200
-0.000023700,-2.467200
-0.000023600,-2.547200
-0.000023500,-2.467200
-0.000023400,-2.547200
-0.000023300,-2.467200
-0.000023200,-2.547200
-0.000023100,-2.467200
-0.000023000,-2.547200
-0.000022900,-2.467200
-0.000022800,-2.547200
-0.000022700,-2.467200
-0.000022600,-2.547200
-0.000022500,-2.467200
-0.000022400,-2.467200
-0.000022300,-2.547200
-0.000022200,-2.547200
-0.000022100,-2.427200
-0.000022000,-2.427200
-0.000021900,-2.547200
-0.000021800,-2.507200
-0.000021700,-2.427200
-0.000021600,-2.547200
-0.000021500,-2.427200
-0.000021400,-2.507200
-0.000021300,-2.427200
-0.000021200,-2.507200
-0.000021100,-2.427200
-0.000021000,-2.507200
-0.000020900,-2.427200
-0.000020800,-2.467200
-0.000020700,-2.427200
-0.000020600,-2.467200
-0.000020500,-2.387200
-0.000020400,-2.387200
-0.000020300,-2.507200
-0.000020200,-2.467200
-0.000020100,-2.387200
-0.000020000,-2.467200
-0.000019900,-2.387200
-0.000019800,-2.467200
-0.000019700,-2.387200
-0.000019600,-2.467200
-0.000019500,-2.347200
-0.000019400,-2.427200
-0.000019300,-2.347200
-0.000019200,-2.427200
-0.000019100,-2.347200
-0.000019000,-2.347200
-0.000018900,-2.427200
-0.000018800,-2.427200
-0.000018700,-2.307200
-0.000018600,-2.307200
-0.000018500,-2.387200
-0.000018400,-2.387200
-0.000018300,-2.307200
-0.000018200,-2.307200
-0.000018100,-2.387200
-0.000018000,-2.347200
-0.000017900,-2.267200
-0.000017800,-2.347200
-0.000017700,-2.267200
-0.000017600,-2.267200
-0.000017500,-2.347200
-0.000017400,-2.307200
-0.000017300,-2.227200
-0.000017200,-2.307200
-0.000017100,-2.227200
-0.000017000,-2.227200
-0.000016900,-2.307200
-0.000016800,-2.267200
-0.000016700,-2.187200
-0.000016600,-2.267200
-0.000016500,-2.187200
-0.000016400,-2.187200
-0.000016300,-2.267200
-0.000016200,-2.227200
-0.000016100,-2.147200
-0.000016000,-2.147200
-0.000015900,-2.227200
-0.000015800,-2.147200
-0.000015700,-2.227200
-0.000015600,-2.107200
-0.000015500,-2.187200
-0.000015400,-2.187200
-0.000015300,-2.107200
-0.000015200,-2.147200
-0.000015100,-2.067200
-0.000015000,-2.067200
-0.000014900,-2.147200
-0.000014800,-2.147200
-0.000014700,-2.027200
-0.000014600,-2.027200
-0.000014500,-2.107200
-0.000014400,-2.107200
-0.000014300,-2.027200
-0.000014200,-2.067200
-0.000014100,-1.987200
-0.000014000,-1.987200
-0.000013900,-2.067200
-0.000013800,-2.027200
-0.000013700,-1.947200
-0.000013600,-1.947200
-0.000013500,-2.027200
-0.000013400,-2.027200
-0.000013300,-1.907200
-0.000013200,-1.987200
